Bundesland,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,gesamt
Baden-Württemberg,548012,1020757,2671038,3824789,2286447,752000,11103043
Bayern,645711,1173722,3102234,4602022,2744905,871589,13140183
Berlin,191322,331752,948668,1276495,694609,221242,3664088
Brandenburg,108304,230525,436169,908064,639345,208664,2531071
Bremen,34066,60149,173022,225344,140177,47372,680130
Hamburg,99330,167269,493226,654183,325931,112539,1852478
Hessen,305325,578413,1472042,2194493,1320802,422079,6293154
Mecklenburg-Vorpommern,66152,140508,295944,553612,421142,133416,1610774
Niedersachsen,379454,727875,1815315,2730237,1770324,580216,8003421
Nordrhein-Westfalen,869901,1640109,4187386,6140170,3824996,1263008,17925570
Rheinland-Pfalz,194465,364373,918690,1402583,924854,293426,4098391
Saarland,41392,79908,211677,329888,243038,78088,983991
Sachsen,180370,365417,786243,1351804,1011120,361987,4056941
Sachsen-Anhalt,88087,182952,393172,740952,584210,191311,2180684
Schleswig-Holstein,129579,260861,629218,1008825,662065,220327,2910875
Thüringen,87668,184072,387248,722705,559374,179170,2120237
