Bundesland,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,gesamt
Baden-Württemberg,281366,523527,1396269,1930419,1088639,296416,5516636
Bayern,330542,602748,1612936,2316929,1309291,340149,6512595
Berlin,98150,170548,477933,648119,323101,84187,1802038
Brandenburg,55694,118550,227060,462051,305489,79206,1248050
Bremen,17579,31050,90423,114284,65232,17822,336390
Hamburg,50945,86148,247540,327708,151872,42720,906933
Hessen,156799,296948,762675,1097161,628872,165953,3108408
Mecklenburg-Vorpommern,33831,71888,153800,284910,200242,48866,793537
Niedersachsen,194385,374605,947404,1362370,847722,224970,3951456
Nordrhein-Westfalen,446976,844615,2163009,3057040,1802562,480686,8794888
Rheinland-Pfalz,99877,187721,477954,701611,444675,114267,2026105
Saarland,21181,41361,110586,164345,116215,29313,483001
Sachsen,92325,187781,409981,703227,470921,134791,1999026
Sachsen-Anhalt,45307,94151,207569,382991,273038,69539,1072595
Schleswig-Holstein,66353,133898,326445,497756,313550,87647,1425649
Thüringen,44774,94742,203868,374693,264472,66663,1049212
